Drug name,Street Name,Street Name Code,keyname,keyname_id
Amphetamine,Amps,Am-0,amphetamine,amp
Amphetamine,Black Beauties,Am-1,Cocaine ,Coca
Amphetamine,Speed,Am-2,crack cocaine,crack-coca
,,,fentanyl ,fent
Amphetamine,Uppers,Am-3,fentanyl derivatives,fent-deriv
Amphetamine,Crosses,Am-4,GHB,GHB
Cocaine,Devil's Dandruff,Co-0,Heroin,Heroin
Cocaine,Batman,Co-1,Hydrocodone,Hydro
Cocaine,Big c,Co-2,Klonopin,klon
Cocaine,blow,Co-3,LSDtrip,LSDtrip-1
Cocaine,Candy,Co-4,Marijuana,Marij
Cocaine,Bolivian Marching Powder,Co-5,Marijuana Concentrates,Marij-conc
Cocaine,Coke,Co-6,MDMA,MDMA-main
Cocaine,snow ,Co-7,Mescaline,Mesc
Cocaine,Stardust,Co-8,Methamphetamine,Meth-main
Cocaine,A-1,Co-9,Mushrooms,Mush
Crack Cocaine,51s,Cr-0,Opium,Opium
Crack Cocaine,151s,Cr-1,Oxycodone,Oxy
Crack Cocaine,Crack,Cr-2,PCP,PCP
Crack Cocaine,Dice,Cr-3,percocet,percocet
Crack Cocaine,Sleet,Cr-4,Peyote,Peyote
Crack Cocaine,Sugar Block,Cr-5,Promethazine with Codine,Pro-W-Cod
Fentanyl,Apache,Fe-0,Ritalin,Rit
Fentanyl,China Girl,Fe-1,Synthetic Cannabiniods,Syn-Can
Fentanyl,China White,Fe-2,Synthetic Cathinones,Syn-Cath
Fentanyl,Dance Fever,Fe-3,Xanax,Xan
Fentanyl,Goodfella,Fe-4,,
Fentanyl,Jackpot,Fe-5,,
Fentanyl,Murder 8,Fe-6,,
Fentanyl,TNT,Fe-7,,
GHB,G ,GH-0,,
GHB,GEEB,GH-1,,
GHB,Georgia Home Boy,GH-2,,
GHB,Liquid E,GH-4,,
GHB,Liquid X,GH-5,,
GHB,Scoop,GH-6,,
Heroin,A-bomb,He-0,,
Heroin,Black Pearl,He-1,,
Heroin,Beast,He-2,,
Heroin,Blow Dope,He-3,,
Heroin,Bombs Away,He-4,,
Heroin,Diesel,He-5,,
Heroin,Dirt,He-6,,
Heroin,White Junk,He-7,,
Heroin,White Nurse,He-8,,
Heroin,Fairy Dust,He-9,,
Heroin,Trees,He-10,,
Hyrocodone,357s,Hy -1,,
Hyrocodone,Bananas,Hy -2,,
Hyrocodone,Dro,Hy -3,,
Hyrocodone,Fluff,Hy -4,,
Hyrocodone,Hydro,Hy -5,,
Hyrocodone,Tabs,Hy -6,,
Hyrocodone,Norco,Hy -7,,
Hyrocodone,Vics,Hy -8,,
Hyrocodone,Vikes,Hy -9,,
Hyrocodone,Watsons,Hy -10,,
Ketamine,Blind Squid,Ke - 1,,
Ketamine,Cat Valium,Ke - 2,,
Ketamine,Green,Ke - 3,,
Ketamine,Honey Oil,Ke - 4,,
Ketamine,Jet,Ke - 5,,
Ketamine,K,Ke - 6,,
Ketamine,K-hold,Ke - 7,,
Ketamine,Kelly's Day,Ke - 8,,
Ketamine,Special K ,Ke - 9,,
Ketamine,Super Acid,Ke - 10,,
Klonopin,K-Pin,Kl-1,,
Klonopin,Pin,Kl-2,,
Klonopin,Super Valium,Kl-3,,
LSD,Acid,LS-0,,
LSD,Mind Detergent,LS-1,,
LSD,Blue Cheer,LS-2,,
LSD,Blue Star,LS-3,,
LSD,Blotter Acid,LS-4,,
LSD,Dots,LS-5,,
LSD,Sugar Cubes,LS-6,,
LSD,Uncle Sid,LS-7,,
LSD,Pink Witches,LS-8,,
LSD,Ticket,LS-9,,
LSD,Purple Barrels,LS-10,,
LSD,Headlights,LS-11,,
LSD,Tail Lights,LS-12,,
LSD,Wedge,LS-13,,
LSD,White Lightening,LS-14,,
LSD,El Cid,LS-15,,
Marijuana,420,Ma-0,,
Marijuana,Broccoli,Ma-1,,
Marijuana,Bud,Ma-2,,
Marijuana,Texas Tea,Ma-3,,
Marijuana,Blondie,Ma-4,,
Marijuana,Chicago Green,Ma-5,,
Marijuana,Girl Scout Cookies,Ma-6,,
Marijuana,Gorilla,Ma-7,,
Marijuana,Green Eyed Girl,Ma-8,,
Marijuana,Grass,Ma-9,,
Marijuana,Manhattan Silver,Ma-10,,
Marijuana,Puff,Ma-11,,
Marijuana,Reefer,Ma-12,,
Marijuana,Smoke,Ma-13,,
Marijuana,Pot,Ma-14,,
Marijuana,Weed,Ma-15,,
Marijuana Concentrates,246,Mar-Con-1,,
Marijuana Concentrates,BHO,Mar-Con-2,,
Marijuana Concentrates,Badder,Mar-Con-3,,
Marijuana Concentrates,Budder ,Mar-Con-4,,
Marijuana Concentrates,Butter,Mar-Con-5,,
Marijuana Concentrates,Dabs,Mar-Con-6,,
Marijuana Concentrates,Ear Wax,Mar-Con-7,,
Marijuana Concentrates,Errl,Mar-Con-8,,
Marijuana Concentrates,SAP,Mar-Con-9,,
MDMA,E,MD-1,,
MDMA,X,MD-2,,
MDMA,XTC,MD-3,,
MDMA,Bean,MD-4,,
MDMA,Love Drug,MD-5,,
MDMA,Dancing Shoes,MD-6,,
MDMA,Roll,MD-7,,
MDMA,Clarity,MD-8,,
MDMA,Scooby Snacks,MD-9,,
MDMA,Molly,MD-10,,
MDMA,Skittle,MD-11,,
Mescaline,Big chief,Me-0,,
Mescaline,Blue Caps,Me-1,,
Mescaline,Buttons,Me-2,,
Mescaline,Cactus,Me-3,,
Mescaline,Media Luna,Me-4,,
Mescaline,Mescal,Me-5,,
Mescaline,Mezcakuba,Me-6,,
Mescaline,Moon,Me-7,,
Mescaline,San Pedro,Me-8,,
Mescaline,Topi,Me-9,,
Methamphetamine,Ice,Meth-1,,
Methamphetamine,Glass,Meth-2,,
Methamphetamine,Crystal ,Meth-3,,
Methamphetamine,Blue Caps,Meth-4,,
Methamphetamine,Chalk,Meth-5,,
Methamphetamine,Wash,Meth-6,,
Methamphetamine,Meth,Meth-7,,
Methamphetamine,Hot ice,Meth-8,,
Methamphetamine,Ice ,Meth-9,,
Methamphetamine,Colorado Rockies,Meth-10,,
Methamphetamine,Mexican Crack,Meth-11,,
Methamphetamine,White,Meth-12,,
Methamphetamine,Shaved Ice,Meth-13,,
Mushrooms,Alice,Mu-0,,
Mushrooms,Boomers,Mu-1,,
Mushrooms,Caps,Mu-3,,
Mushrooms, Champiñones,Mu-4,,
Mushrooms,Hongos,Mu-5,,
Mushrooms,Magic,Mu-6,,
Mushrooms,Mushies,Mu-7,,
Mushrooms,Pizza Toppings,Mu-8,,
Mushrooms,Shrooms,Mu-9,,
Mushrooms,Tweezes,Mu-10,,
Opium,Joy Plant,Op-0,,
Opium,Big O,Op-1,,
Opium,Black Russian,Op-2,,
Opium,Dream Gum,Op-3,,
Opium,Goma,Op-4,,
Opium,Gondola,Op-5,,
Opium,Dream stick,Op-6,,
Opium,Hops,Op-7,,
Opium,Skee,Op-8,,
Opium,Toxy,Op-9,,
Opium,Hops,Op-10,,
Opium,Midnight Oil,Op-11,,
Opium,Zero,Op-12,,
Opium,Pin Yen,Op-13,,
Oxycodone,30s,oxy-1,,
Oxycodone,40s,oxy-2,,
Oxycodone,Oxy,oxy-3,,
Oxycodone,Beans,oxy-4,,
Oxycodone,Blues,oxy-5,,
Oxycodone,whites,oxy-6,,
Oxycodone,O.C,oxy-7,,
PCP,Ace,PC-0,,
PCP,Angel Dust,PC-1,,
PCP,Purple Rain,PC-2,,
PCP,Red Devil,PC-3,,
PCP,Rocket Fuel,PC-4,,
PCP,Zombie,PC-5,,
PCP,Zoom ,PC-6,,
PCP,Space,PC-7,,
PCP,Yellow Fever,PC-8,,
PCP,Venom,PC-9,,
PCP,Monkey Dust,PC-10,,
PCP,water,PC-11,,
Percocet,512s,Per-1,,
Percocet,kickers,Per-2,,
Percocet,Hillbilly Heroin ,Per-3,,
Percocet,M-30s,Per-4,,
Percocet,Percs,Per-5,,
Percocet,Rims,Per-6,,
Percocet,Tires,Per-7,,
Percocet,Wheels,Per-8,,
Peyote,Britton,Pey-1,,
Peyote,Half Moon,Pey-2,,
Peyote,Hikori,Pey-3,,
Peyote,Hikuli,Pey-4,,
Peyote,Hyatari,Pey-5,,
Peyote,Nubs,Pey-6,,
Peyote,Seni,Pey-7,,
Peyote,Tops,Pey-8,,
Peyote,Black Button ,Pey-9,,
Promethazine With Codeine,Act,Pr-0,,
Promethazine With Codeine,Drank,Pr-1,,
Promethazine With Codeine,Lean,Pr-2,,
Promethazine With Codeine,Purple Drank,Pr-4,,
Promethazine With Codeine,Sizurup,Pr-5,,
Promethazine With Codeine,Sizzurp,Pr-6,,
Promethazine With Codeine,Syrup,Pr-7,,
Ritalin,Kibbles and Bits,Ri-0,,
Synthetic Cannaboids,4-20,Can-0,,
Synthetic Cannaboids,Abyss,Can-1,,
Synthetic Cannaboids,Ace of Spades,Can-2,,
Synthetic Cannaboids,AK-47,Can-3,,
Synthetic Cannaboids,Buzz Haze,Can-4,,
Synthetic Cannaboids,Devil's Venom,Can-5,,
Synthetic Cannaboids,Dragon Eye,Can-6,,
Synthetic Cannaboids,Earth Blend,Can-7,,
Synthetic Cannaboids,Pineapple Express,Can-8,,
Synthetic Cannaboids,Krazy Kandy,Can-9,,
Synthetic Cathinones,Bloom,Sy-Ca-1,,
Synthetic Cathinones,Vanilla Sky,Sy-Ca-2,,
Synthetic Cathinones,Ocean Burst,Sy-Ca-3,,
Synthetic Cathinones,Bath salts,Sy-Ca-5,,
Synthetic Cathinones,Pure Ivory,Sy-Ca-6,,
Synthetic Cathinones,Red Dove,Sy-Ca-7,,
Synthetic Cathinones,Blue Silk,Sy-Ca-8,,
Synthetic Cathinones,Flakka,Sy-Ca-9,,
Synthetic Cathinones,White Knight,Sy-Ca-10,,
Xanax,Zanbars,Xa-1,,
Xanax,Handle Bars,Xa-2,,
Xanax,School Bus,Xa-4,,
Xanax,Xanies,Xa-5,,
Xanax,Z-bars,Xa-6,,
Xanax,Zannies,Xa-7,,
,drug,Drug -1,,
,pharmacy,Phar -1,,
,lsdtrip,lsdtrip-1,,
,acid,acid-1,,
,Psychedelic,psych-1,,
,anxiety,anxiety-1,,
,depression,depression-1,,
